CVE_MUN,NOM_MUN
208,San Juan Mixtepec -Dto. 08 -
210,San Juan Ñumi
370,Santa Catarina Tayata
003,Asuncion Cacalotepec
025,Chahuites
338,Villa de Etla
294,San Pablo Huitzo
277,Villa Sola de Vega
067,Oaxaca de Juarez
453,Santiago Astata
102,San Andres Zautla
413,Santa Maria Huatulco
334,Villa de Tututepec de Melchor Ocampo
427,Santa Maria Petapa
010,El Barrio de la Soledad
005,Asuncion Ixtaltepec
141,San Francisco del Mar
143,San Francisco Ixhuatan
043,Heroica Ciudad de Juchitan de Zaragoza
557,Union Hidalgo
071,Pluma Hidalgo
012,Candelaria Loxicha
401,Santa Maria Colotepec
318,San Pedro Mixtepec -Dto. 22 -
057,Matias Romero Avendaño
072,San Jose del Progreso
068,Ocotlan de Morelos
483,Santiago Suchilquitongo
077,Reyes Etla
051,Magdalena Teitipac
305,San Pedro Comitancillo
075,Reforma de Pineda
103,San Antonino Castillo Velasco
360,Santa Ana Zegache
452,Santiago Apostol
087,San Agustin Yatareni
301,San Pedro Apostol
132,San Dionisio Ocotlan
192,San Juan Chilateca
243,San Martin Tilcajete
315,San Pedro Martir
530,Santo Tomas Jalieza
267,San Miguel del Rio
293,San Pablo Etla
094,San Andres Nuxiño
481,Santiago Nuyoo
482,Santiago Pinotepa Nacional
484,Santiago Tamazola
569,Santa Ines de Zaragoza
007,Asuncion Ocotlan
546,Teotitlan del Valle
550,San Jeronimo Tlacochahuaya
145,San Francisco Lachigolo
389,Santa Ines Yatzeche
393,Santa Lucia Ocotlan
399,Santa Maria Atzompa
496,Santiago Xiacui
555,Trinidad Zaachila
560,Villa Diaz Ordaz
565,Villa de Zaachila
426,Santa Maria Peñoles
104,San Antonino el Alto
108,San Antonio Huitepec
217,San Juan Tamazola
091,San Andres Huayapam
553,Tlalixtac de Cabrera
155,San Ildefonso Sola
511,Santo Domingo Nuxaa
048,Magdalena Mixtepec
157,San Jacinto Amilpas
162,San Jeronimo Taviche
178,San Juan Bautista Guelache
191,San Juan Chicomezuchil
197,San Juan Guelavia
219,San Juan Teitipac
227,San Lorenzo Cacaotepec
238,San Martin de los Cansecos
247,Capulalpam de Mendez
262,San Miguel Amatlan
328,San Pedro Taviche
358,Santa Ana Tlapacoyan
365,Santa Catarina Lachatao
368,Santa Catarina Minas
378,Santa Cruz Mixtepec
385,Santa Cruz Xoxocotlan
271,San Miguel Mixtepec
273,San Miguel Peras
017,La Compañia
023,Cuilapam de Guerrero
035,Guelatao de Juarez
150,San Francisco Telixtlahuaca
161,San Jeronimo Sosola
398,Ayoquezco de Aldama
028,Heroica Ciudad de Ejutla de Crespo
059,Miahuatlan de Porfirio Diaz
154,San Ildefonso Amatlan
209,San Juan Mixtepec -Dto. 26 -
045,Magdalena Apasco
193,San Juan del Estado
254,San Mateo Rio Hondo
347,San Sebastian Rio Hondo
314,San Pedro Juchatengo
149,San Francisco Sola
487,Santiago Tenango
494,Santiago Tlazoyaltepec
531,Santo Tomas Mazaltepec
535,San Vicente Lachixio
063,Nazareno Etla
092,San Andres Ixtlahuaca
049,Magdalena Ocotlan
069,La Pe
078,Rojas de Cuauhtemoc
083,San Agustin de las Juntas
084,San Agustin Etla
112,San Baltazar Chichicapam
532,Santo Tomas Ocotepec
558,Valerio Trujano
564,Yutanduchi de Guerrero
080,San Agustin Amatengo
095,San Andres Paxtlan
118,San Bartolome Quialana
174,animas Trujano
411,Santa Maria Guelace
419,Santa Maria Jaltianguis
443,Santa Maria Yavesia
167,San Jose del Peñasco
230,San Lorenzo Victoria
164,San Jorge Nuchita
548,Tepelmeme Villa de Morelos
018,Concepcion Buenavista
021,Cosolapa
327,San Pedro Tapanatepec
211,San Juan Ozolotepec
476,Santiago Miltepec
477,Santiago Minas
562,Magdalena Yodocono de Porfirio Diaz
233,San Lucas Quiavini
284,San Miguel Tilquiapam
295,San Pablo Huixtepec
265,San Miguel Chimalapa
266,San Miguel del Puerto
356,Santa Ana del Valle
310,San Pedro Ixtlahuaca
342,San Raymundo Jalpan
343,San Sebastian Abasolo
349,San Sebastian Teitipac
107,San Antonio de la Cal
363,Santa Catarina Ixtepeji
369,Santa Catarina Quiane
375,Santa Cruz Amilpas
257,San Melchor Betaza
380,Santa Cruz Papalutla
387,Santa Gertrudis
388,Santa Ines del Monte
403,Santa Maria Coyotepec
449,Santa Maria Zoquitlan
475,Santiago Matatlan
504,Nuevo Zoquiapam
519,Santo Domingo Tomaltepec
539,Soledad Etla
544,Teococuilco de Marcos Perez
561,Yaxe
420,Santa Maria Lachixio
022,Cosoltepec
026,Chalcatongo de Hidalgo
029,Eloxochitlan de Flores Magon
032,Fresnillo de Trujano
241,San Martin Lachila
013,Cienega de Zimatlan
033,Guadalupe Etla
